S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
,ข้อมูลทั่วไป,,,,,,,,,,,,,,,,,,
118.0,รถยนต์ดูเหมือนว่าจะเกิดอุบัติเหตุหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q118.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
119.0,รถยนต์ดูเหมือนว่าจะได้รับความเสียหายจากน้ำท่วมหรือไม่,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q119.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,การตรวจสอบภายนอก,,,,,,,,,,,,,,,,,,
2.0,โปรดถ่ายรูปกันชนหน้าของรถยนต์,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q2.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่กันชนหน้า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q2_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนกันชนหน้า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q2_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
121.0,โปรดถ่ายรูปกระจกบังลมด้านหน้า,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q121.mp3,Yes,No,No,,Yes,กระจกบังลมหน้ามีสภาพเป็นอย่างไร?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q121_SQ1.mp3,Yes,"Good,Crack,Dents & Scartches ",No,,,No,,Yes,No,Yes
123.0,โปรดถ่ายรูปภายนอกฝากระโปรงหน้า,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q123.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ฝากระโปรงหน้า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q123_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนฝากระโปรงหน้า?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q123_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
3.0,โปรดถ่ายรูปบังโคลนด้านหน้าขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q3.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่บังโคลนหน้าขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q3_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนบังโคลนหน้าขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q3_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
5.0,โปรดคลิกที่รูปประตูฝั่งคนขับ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q5.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ประตูฝั่งคนขับ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q5_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนประตูฝั่งคนขับ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q5_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
6.0,โปรดถ่ายรูปประตูด้านหลังขวา,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q6.mp3,Yes,No,No,,Yes,จำนวนรอยบุบที่ประตูด้านหลังขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q6_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,จำนวนรอยขีดข่วนบนประตูด้านหลังขวา?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q6_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
