S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
,Maklumat Am,,,,,,,,,,,,,,,,,,
118.0,Adakah Kenderaan itu nampaknya telah mengalami kemalangan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q118.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,Yes,No,Yes
119.0,Adakah Kenderaan itu kelihatan rosak akibat banjir?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q119.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,Yes,No,Yes
,Pemeriksaan Luar,,,,,,,,,,,,,,,,,,
2.0,Sila ambil Gambar Bampar Hadapan Kenderaan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q2.mp3,Yes,No,No,,Yes,Bilangan Kemek Pada Bampar Hadapan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q2_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Bampar Hadapan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q2_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
121.0,Sila ambil Foto Windsheild Depan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q121.mp3,Yes,No,No,,Yes,Bagaimanakah Keadaan Windsheild Depan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q121_SQ1.mp3,Yes,"Good,Crack,Dents & Scartches ",No,,,No,,Yes,No,Yes
123.0,Sila ambil Gambar Luar Bonet Depan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q123.mp3,Yes,No,No,,Yes,Bilangan Kekok Pada Bonet?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q123_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar Pada Bonet?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q123_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
3.0,Sila ambil Foto Fender Sebelah Kanan Hadapan,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q3.mp3,Yes,No,No,,Yes,Bilangan Kemek Pada Fender Kanan Hadapan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q3_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar pada Fender Kanan Depan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q3_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
5.0,Sila Klik Foto Pintu Sebelah Pemandu,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q5.mp3,Yes,No,No,,Yes,Bilangan Kemek Pada Pintu Sebelah Pemandu ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q5_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar Pada Pintu Sebelah Pemandu?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q5_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
6.0,Sila ambil Foto Pintu Sebelah Kanan Belakang,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q6.mp3,Yes,No,No,,Yes,Bilangan Kemek Di Belakang Pintu Sebelah Kanan?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q6_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Bilangan Calar Pada Pintu Sebelah Kanan Belakang?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Malay/Q6_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
