S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
,General Information ,,,,,,,,,,,,,,,,,,
118.0,Does the Vehicle appear to have been in an accident?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q118.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
119.0,Does the Vehicle appear to be flood-damaged?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q119.mp3,Yes,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
,Exterior Inspection,,,,,,,,,,,,,,,,,,
2.0,Please take Front Bumper Photo of the Vehicle,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q2.mp3,Yes,No,No,,Yes,Number Of Dent On Front Bumper?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q2_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratches on Front Bumper?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q2_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
121.0,Please take Front Windsheild Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q121.mp3,Yes,No,No,,Yes,How is the Front Windsheild Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q121_SQ1.mp3,Yes,"Good,Crack,Dents & Scartches ",No,,,No,,Yes,No,Yes
123.0,Please take Front Bonnet Exterior Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q123.mp3,Yes,No,No,,Yes,Number Of Dent On Bonnet?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q123_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number Of Scratches On Bonnet?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q123_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
3.0,Please take Front Right Side Fender Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q3.mp3,Yes,No,No,,Yes,Number Of Dent On Front Right Fender?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q3_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number of Scratches on Front Right Fenders?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q3_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
5.0,Please Click Driver Side Door Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q5.mp3,Yes,No,No,,Yes,Number Of Dent On Driver Side Door ?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q5_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number Of Scratches On Driver Side Door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q5_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
6.0,Please take Rear Right Side Door Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q6.mp3,Yes,No,No,,Yes,Number Of Dent On Rear Right Side Door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q6_SQ1.mp3,Yes,"1-2 ,3-4 , 4+, No Dents",Yes,Number Of Scratches On Rear Right Side Door?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Telugu/Q6_SQ2.mp3,Yes,"1-2 ,3-4 , 4+, No Scratch",Yes,No,Yes
